season,league,best_bet_type,best_bet_outcome,bet_rating,best_bet_odds,best_bet_ev,home_goals,away_goals
2025,Premier League,TOTAL,Over2.5,Strong,1.7260000000000002,0.38029603227074094,4,1
2025,Premier League,TOTAL,Over2.5,Strong,1.8419999999999999,0.4925460000376043,3,1
2025,Premier League,TOTAL,Over2.5,Strong,1.8240000000000003,0.15081107989022424,3,4
2025,Ligue 1,TOTAL,Over2.5,Weak,1.658,0.022985846871546922,3,0
2025,Premier League,TOTAL,Over2.5,Strong,1.794,0.1544447696140845,2,1
2025,Premier League,TOTAL,Over2.5,Strong,1.682,0.34216153617952383,3,0
2025,Premier League,TOTAL,Over2.5,Strong,1.7100000000000002,0.14177408514586465,1,5
2025,Premier League,TOTAL,Over2.5,Strong,1.9459999999999997,0.2467901548300775,2,1
2025,Premier League,TOTAL,Over2.5,Strong,1.85,0.23022634742951875,1,0
2025,Premier League,TOTAL,Over2.5,Strong,1.796,0.11724900692622464,3,0
2025,Premier League,TOTAL,Over2.5,Strong,1.716,0.2983712765680444,1,0
2025,Premier League,1X2,Away,Strong,2.654,0.19157783994538624,3,0
