league,odds_bucket,edge_bucket,draw_risk_bucket,n,roi,profit,hit_rate,avg_ev,avg_edge,avg_odds,calibration_gap
135,2.40-3.20,-0.02-0.02,0.34+,28,0.08364285714285716,2.3420000000000005,0.39285714285714285,-0.047149376837148614,-0.00021234170120294275,2.782285714285714,-0.04874629376606937
140,2.40-3.20,<-0.02,0.34+,32,0.08347916666666666,2.671333333333333,0.375,-0.25599232726011795,-0.07194035556960113,2.8952708333333335,-0.11674105079022801
140,1.55-1.70,-0.02-0.02,0.26-0.30,3,0.07933333333333333,0.238,0.6666666666666666,-0.030661859003860464,0.005311655432793934,1.639333333333333,-0.07501015275871836
140,2.00-2.40,0.12+,0.30-0.34,2,0.07499999999999996,0.1499999999999999,0.5,0.2689052731767234,0.14357880731277844,2.248,0.06548648744974406
135,2.00-2.40,0.02-0.05,0.30-0.34,14,0.07371428571428565,1.0319999999999991,0.5,0.03496438985132277,0.03414101478978984,2.1610000000000005,-0.019566560132700084
61,<1.55,<-0.02,0.22-0.26,5,0.0682666666666667,0.3413333333333335,0.8,-0.1374559509416784,-0.06576031137834998,1.3274666666666668,-0.14946725849458098
39,4.00+,0.02-0.05,0.22-0.26,7,0.06114285714285713,0.42799999999999994,0.14285714285714285,0.18086106679759892,0.027241368635472742,8.670428571428571,-0.00463205659982957
135,2.00-2.40,0.05-0.08,0.30-0.34,10,0.060799999999999944,0.6079999999999994,0.5,0.09385165879830752,0.06119074252495129,2.1504000000000003,0.009337621648120353
140,<1.55,<-0.02,0.22-0.26,10,0.05740000000000001,0.5740000000000001,0.8,-0.13376534057681957,-0.06425253992872167,1.3368,-0.15124479478185116
78,2.40-3.20,<-0.02,0.30-0.34,19,0.05463157894736841,1.0379999999999998,0.3684210526315789,-0.23233139528612104,-0.06787666308660355,2.8165263157894733,-0.09403695727961853
39,2.40-3.20,<-0.02,0.34+,56,0.047857142857142834,2.679999999999999,0.375,-0.2508432915607394,-0.07180442284369015,2.7888571428571427,-0.1042658737487519
140,2.40-3.20,-0.02-0.02,0.30-0.34,10,0.04740000000000002,0.4740000000000002,0.4,-0.037264921583184736,0.0018180086404981505,2.6328,-0.031239202234010777
39,2.00-2.40,<-0.02,0.30-0.34,25,0.04296000000000002,1.0740000000000005,0.48,-0.189309681136173,-0.06392633021467177,2.16828,-0.10542644645067928
135,1.70-2.00,0.08-0.12,0.30-0.34,9,0.04199999999999999,0.3779999999999999,0.5555555555555556,0.129653337445223,0.09737433583445698,1.848666666666667,0.056406237015534044
39,<1.55,-0.02-0.02,0.26-0.30,3,0.023666666666666725,0.07100000000000017,0.6666666666666666,-0.06508440984989187,-0.0046018791610107,1.5276666666666667,-0.05468219910668526
140,<1.55,0.02-0.05,0.26-0.30,3,0.020666666666666684,0.062000000000000055,0.6666666666666666,0.010026666188461033,0.03288556261587513,1.534,-0.008259794463217673
39,2.40-3.20,-0.02-0.02,0.30-0.34,5,0.0016000000000000014,0.008000000000000007,0.4,-0.07369775436454502,-0.006014802896318801,2.6088000000000005,-0.044108875923233926
61,4.00+,<-0.02,0.34+,5,-0.0008000000000000007,-0.0040000000000000036,0.2,-0.31215347295008256,-0.059470609818186825,4.426,-0.043766024391177605
61,3.20-4.00,<-0.02,0.26-0.30,4,-0.0044999999999999485,-0.017999999999999794,0.25,-0.35424338246115106,-0.07756853192533437,3.9385000000000003,-0.08595385451861634
39,<1.55,<-0.02,0.26-0.30,3,-0.005333333333333412,-0.016000000000000236,0.6666666666666666,-0.09153876355418507,-0.03390009145686413,1.4646666666666663,-0.046142599259757056
140,2.00-2.40,<-0.02,0.30-0.34,18,-0.007444444444444402,-0.13399999999999923,0.4444444444444444,-0.2405496796784331,-0.08623488001927276,2.2322222222222217,-0.1031922458220641
