league,outcome,odds_bucket,edge_bucket,prob_bucket,n,wins,hit_rate,avg_odds,avg_p_model,avg_p_market,avg_ev,actual_win_rate,calibration_gap,profit,roi,model_logloss,market_logloss,model_minus_market_logloss
Ligue 1,Under2.5,1.70-2.00,<0.02,0.52-0.56,11.0,9.0,0.8181818181818182,1.8056363636363635,0.5418267014816852,0.5294021321662307,-0.022104113727022114,0.8181818181818182,-0.276355116700133,5.2540000000000004,0.4776363636363637,0.6486438266422997,0.6596231751580433,-0.010979348515743559
Premier League,Over2.5,1.55-1.70,0.02-0.05,0.56-0.60,1.0,1.0,1.0,1.67,0.594361661030696,0.5628272251308901,-0.007416026078737703,1.0,-0.405638338969304,0.6699999999999999,0.6699999999999999,0.5202672879436523,0.5747825804789123,-0.054515292535259996
Premier League,Over2.5,1.55-1.70,0.05-0.08,0.60-0.65,4.0,4.0,1.0,1.67,0.6261023923369576,0.5707410873140618,0.04549175312698267,1.0,-0.37389760766304236,2.6799999999999997,0.6699999999999999,0.468278615726175,0.5608756213153681,-0.09259700558919304
Premier League,Over2.5,1.55-1.70,0.05-0.08,0.65+,2.0,1.0,0.5,1.6684999999999999,0.6528876248151605,0.5739603148600034,0.08929591957779104,0.5,0.1528876248151605,-0.3480000000000001,-0.17400000000000004,0.735954454713836,0.697010775045265,0.03894367966857104
Premier League,Over2.5,1.55-1.70,0.08-0.12,0.65+,8.0,5.0,0.625,1.6607500000000002,0.6703742431300519,0.5713188019887925,0.11321920528699819,0.625,0.045374243130051894,0.2899999999999998,0.03624999999999998,0.6627938707026996,0.6690110562624977,-0.006217185559798111
Premier League,Over2.5,1.55-1.70,0.12+,0.65+,33.0,31.0,0.9393939393939394,1.6210757575757575,0.8197289558425723,0.5831732376483166,0.3286235386075667,0.9393939393939394,-0.11966498355136712,17.2615,0.5230757575757576,0.29167479030360793,0.561678184545822,-0.27000339424221403
Premier League,Over2.5,1.70-2.00,0.02-0.05,0.52-0.56,1.0,0.0,0.0,1.918,0.5342008347741991,0.5018181818181818,0.024597201096913768,0.0,0.5342008347741991,-1.0,-1.0,0.7640007136635991,0.6967901718384464,0.06721054182515274
Premier League,Over2.5,1.70-2.00,0.02-0.05,0.56-0.60,5.0,5.0,1.0,1.7580000000000002,0.5891457157868605,0.5497873654960885,0.03568030998156626,1.0,-0.4108542842131395,3.79,0.758,0.5291015472627629,0.5983659978198383,-0.06926445055707542
Premier League,Over2.5,1.70-2.00,0.05-0.08,0.52-0.56,1.0,1.0,1.0,1.9,0.5533581020844522,0.5013123359580053,0.051380393960459125,1.0,-0.44664189791554776,0.8999999999999999,0.8999999999999999,0.5917499244982553,0.690525947080071,-0.09877602258181573
Premier League,Over2.5,1.70-2.00,0.05-0.08,0.56-0.60,6.0,6.0,1.0,1.875,0.5736565393979732,0.5103516656383412,0.07525910852831452,1.0,-0.42634346060202677,5.25,0.875,0.5557969344982253,0.6731626446369142,-0.1173657101386889
Premier League,Over2.5,1.70-2.00,0.05-0.08,0.60-0.65,4.0,0.0,0.0,1.768,0.6110738940844231,0.5408529558040194,0.08037464336269429,0.0,0.6110738940844231,-4.0,-1.0,0.9444262922317088,0.7785930414562945,0.16583325077541433
Premier League,Over2.5,1.70-2.00,0.08-0.12,0.52-0.56,1.0,1.0,1.0,1.99,0.556964097573207,0.4693333333333332,0.10835855417068196,1.0,-0.443035902426793,0.99,0.99,0.5852544979128784,0.7564420309322593,-0.17118753301938083
Premier League,Over2.5,1.70-2.00,0.08-0.12,0.60-0.65,12.0,8.0,0.6666666666666666,1.7921666666666667,0.637628248716361,0.5316411085533242,0.14259491261029375,0.6666666666666666,-0.029038417950305595,2.2660000000000005,0.18883333333333338,0.6354136698497787,0.6700646258949264,-0.034650956045147785
Premier League,Over2.5,1.70-2.00,0.08-0.12,0.65+,1.0,1.0,1.0,1.7100000000000002,0.6677041433601547,0.5574534161490683,0.14177408514586465,1.0,-0.3322958566398453,0.7100000000000002,0.7100000000000002,0.40391010271573924,0.5843763376160748,-0.18046623490033553
Premier League,Over2.5,1.70-2.00,0.12+,0.60-0.65,8.0,5.0,0.625,1.94175,0.6381112655884218,0.4933098018888369,0.23895694951186797,0.625,0.013111265588421794,1.626,0.20325,0.648860056590957,0.6864388090013971,-0.037578752410440064
Premier League,Over2.5,1.70-2.00,0.12+,0.65+,40.0,32.0,0.8,1.8140250000000002,0.7811271580319754,0.5289936859295709,0.41684990890254003,0.8,-0.018872841968024634,18.035,0.450875,0.4725388688388968,0.6592845956111272,-0.1867457267722304
Premier League,Over2.5,2.00-2.40,0.02-0.05,0.50-0.52,1.0,0.0,0.0,2.036,0.5129393737898641,0.4692387904066736,0.04434456503616335,0.0,0.5129393737898641,-1.0,-1.0,0.7193666745098208,0.6334430583329155,0.08592361617690536
Premier League,Over2.5,2.00-2.40,0.05-0.08,0.50-0.52,1.0,0.0,0.0,2.074,0.5111187249901602,0.4601769911504425,0.060060235629592285,0.0,0.5111187249901602,-1.0,-1.0,0.7156356103767869,0.6165139545390295,0.09912165583775745
Premier League,Over2.5,2.00-2.40,0.08-0.12,0.52-0.56,1.0,1.0,1.0,2.13,0.552436874463008,0.45801526717557256,0.1766905426062071,1.0,-0.44756312553699196,1.13,1.13,0.5934161064833527,0.7808527609790508,-0.18743665449569802
Premier League,Over2.5,2.00-2.40,0.12+,0.60-0.65,3.0,2.0,0.6666666666666666,2.127333333333333,0.6180002099945744,0.4480208764408143,0.3145841642213829,0.6666666666666666,-0.04866645667209224,1.242,0.414,0.6193362092173276,0.7308677480157622,-0.11153153879843458
Premier League,Over2.5,2.00-2.40,0.12+,0.65+,7.0,7.0,1.0,2.143214285714286,0.7558804853987661,0.4467790584631896,0.6190883845579039,1.0,-0.24411951460123393,8.0025,1.1432142857142857,0.2813566015861477,0.8065901684037048,-0.5252335668175571
Premier League,Over2.5,<1.55,0.02-0.05,0.60-0.65,2.0,1.0,0.5,1.519,0.6435437977703481,0.6192870985419203,-0.02248777869119256,0.5,0.1435437977703481,-0.4860000000000002,-0.2430000000000001,0.7228212823969458,0.7165711615917951,0.0062501208051506385
