league,outcome,odds_bucket,edge_bucket,draw_risk_bucket,n,model_logloss,market_logloss,model_minus_market_logloss,avg_p_model,actual_win_rate,avg_p_market,calibration_gap,avg_edge,avg_ev,avg_odds,roi,profit,hit_rate,clv,status
39,Home,1.55-1.70,0.02-0.05,0.26-0.30,10,0.7268979937114106,0.7081635485853905,0.01873444512602007,0.6128147540895394,0.5,0.5805043347328507,0.11281475408953945,0.032310419356688734,0.004895387048032951,1.6404,-0.17999999999999994,-1.7999999999999994,0.5,,BLOCKED
135,Away,3.20-4.00,<-0.02,0.30-0.34,13,0.5424568592278167,0.5426728851500222,-0.00021602592220548722,0.22057900211120973,0.23076923076923078,0.27245578181530433,-0.01019022865802105,-0.05187677970409465,-0.2242646599463042,3.524153846153846,-0.18076923076923074,-2.3499999999999996,0.23076923076923078,,BLOCKED
135,Away,1.70-2.00,0.05-0.08,0.30-0.34,9,0.7213518625321115,0.690837222607745,0.030514639924366427,0.5861922810497538,0.4444444444444444,0.5212906421187515,0.14174783660530943,0.06490163893100226,0.0767403294898154,1.8417777777777777,-0.1831111111111111,-1.648,0.4444444444444444,,BLOCKED
140,Home,1.55-1.70,0.12+,0.26-0.30,14,0.8500536081077554,0.7030590839091854,0.14699452419857006,0.7546660489385372,0.5,0.5825077337969579,0.25466604893853717,0.17215831514157937,0.2361175632400063,1.639,-0.18328571428571427,-2.566,0.5,,BLOCKED
135,Away,1.55-1.70,0.05-0.08,0.26-0.30,4,0.7566989584865502,0.7190434055986124,0.03765555288793787,0.6608249167587081,0.5,0.5965666708291623,0.16082491675870814,0.06425824592954582,0.06980067418644043,1.621,-0.184,-0.736,0.5,,BLOCKED
39,Draw,4.00+,<-0.02,<=0.22,8,0.38234101932550674,0.39882778205839053,-0.016486762732883797,0.12824964228152602,0.125,0.16286381523583188,0.0032496422815260217,-0.034614172954305834,-0.2490513061428632,5.89075,-0.1875,-1.5,0.125,,BLOCKED
140,Home,2.40-3.20,0.05-0.08,0.34+,6,0.6138436020846675,0.6009460275487483,0.01289757453591922,0.42593461375732183,0.3333333333333333,0.36424367883088893,0.09260128042398852,0.061690934926432954,0.11241583866091794,2.6315833333333334,-0.18766666666666665,-1.126,0.3333333333333333,,BLOCKED
39,Away,1.55-1.70,0.05-0.08,0.26-0.30,2,0.7954881962373404,0.7407805072386651,0.054707688998675286,0.6569143696013031,0.5,0.5949945274921131,0.15691436960130312,0.06191984210919005,0.04650154229017944,1.594,-0.18900000000000006,-0.3780000000000001,0.5,,BLOCKED
39,Draw,3.20-4.00,-0.02-0.02,0.26-0.30,24,0.5153720114304041,0.5185744316866513,-0.0032024202562471737,0.24580369845080974,0.20833333333333334,0.24672913646945652,0.037470365117476395,-0.00092543801864677,-0.05621132085300779,3.839916666666666,-0.1911666666666667,-4.588000000000001,0.20833333333333334,,BLOCKED
78,Home,2.40-3.20,-0.02-0.02,0.30-0.34,7,0.647209718132714,0.6329862112739314,0.014223506858782597,0.3577348199989992,0.2857142857142857,0.3540084443508526,0.0720205342847135,0.0037263756481465166,-0.0328033045786636,2.7220000000000004,-0.19171428571428567,-1.3419999999999996,0.2857142857142857,,BLOCKED
140,Away,3.20-4.00,<-0.02,0.34+,40,0.5567561137678667,0.545815319313369,0.010940794454497693,0.1975676106835176,0.225,0.2718713846180051,-0.027432389316482397,-0.07430377393448744,-0.3075561244157754,3.5175666666666663,-0.19210000000000002,-7.684000000000001,0.225,,BLOCKED
135,Home,<1.55,<-0.02,0.22-0.26,5,0.6580876510221728,0.7324817842834606,-0.07439413326128774,0.6556400291959383,0.6,0.7246681671782627,0.055640029195938356,-0.06902813798232432,-0.13283747950878613,1.3208000000000002,-0.19239999999999996,-0.9619999999999997,0.6,,BLOCKED
61,Draw,4.00+,0.08-0.12,0.26-0.30,5,0.5182522848760192,0.4786352930850927,0.03961699179092648,0.3121428247750274,0.2,0.21504652623315867,0.1121428247750274,0.09709629854186877,0.3816955467233374,4.434400000000001,-0.19400000000000012,-0.9700000000000006,0.2,,BLOCKED
135,Draw,3.20-4.00,0.02-0.05,0.26-0.30,14,0.5198904368767817,0.5151315445116696,0.004758892365112066,0.28039931305107146,0.21428571428571427,0.24959646189947313,0.06611359876535719,0.030802851151598348,0.06999968682419488,3.818857142857144,-0.19542857142857145,-2.736,0.21428571428571427,,BLOCKED
39,Home,<1.55,<-0.02,<=0.22,7,0.5230572136069339,0.5349417487381863,-0.011884535131252427,0.7835091580799084,0.7142857142857143,0.8265550064815885,0.0692234437941941,-0.04304584840168007,-0.08926640493421859,1.1657142857142857,-0.1957142857142857,-1.3699999999999999,0.7142857142857143,,BLOCKED
